elapsed_seconds,heart_rate
0.0,68
1.0,68
2.0,68
3.0,68
4.0,68
5.0,68
6.0,68
7.0,68
8.0,68
9.0,68
10.0,68
11.0,68
12.0,68
13.0,68
14.0,68
15.0,69
16.0,69
17.0,70
18.0,72
19.0,72
20.0,73
21.0,74
22.0,75
23.0,75
24.0,76
25.0,77
26.0,78
27.0,78
28.0,78
29.0,79
30.0,79
31.0,79
32.0,79
33.0,79
34.0,79
35.0,79
36.0,79
37.0,79
38.0,80
39.0,81
40.0,81
41.0,82
42.0,82
43.0,82
44.0,82
45.0,82
46.0,81
47.0,79
48.0,78
49.0,77
50.0,76
51.0,74
52.0,73
53.0,71
54.0,70
55.0,68
56.0,68
57.0,67
58.0,66
59.0,66
60.0,66
61.0,66
62.0,66
63.0,66
64.0,66
65.0,66
66.0,66
67.0,66
68.0,66
69.0,67
70.0,71
71.0,72
72.0,75
73.0,78
74.0,79
75.0,81
76.0,82
77.0,82
78.0,82
79.0,82
80.0,81
81.0,80
82.0,76
83.0,75
84.0,72
85.0,71
86.0,69
87.0,67
88.0,64
89.0,64
90.0,62
91.0,61
92.0,61
93.0,61
94.0,61
95.0,61
96.0,61
97.0,61
98.0,61
99.0,61
100.0,62
101.0,62
102.0,64
103.0,64
104.0,63
105.0,63
106.0,64
107.0,64
108.0,64
109.0,64
110.0,64
111.0,64
112.0,64
113.0,63
114.0,62
115.0,62
116.0,61
117.0,61
118.0,61
119.0,61
120.0,61
121.0,61
122.0,60
123.0,60
124.0,61
125.0,61
126.0,61
127.0,61
128.0,61
129.0,62
130.0,63
131.0,63
132.0,63
133.0,63
134.0,63
135.0,63
136.0,63
137.0,64
138.0,64
139.0,64
140.0,65
141.0,65
142.0,65
143.0,64
144.0,63
145.0,63
146.0,63
147.0,63
148.0,63
149.0,64
150.0,64
151.0,64
152.0,64
153.0,63
154.0,63
155.0,63
156.0,63
157.0,63
158.0,63
159.0,64
160.0,64
161.0,64
162.0,65
163.0,65
164.0,64
165.0,64
166.0,64
167.0,64
168.0,64
169.0,64
170.0,64
171.0,64
172.0,64
173.0,64
174.0,64
175.0,63
176.0,63
177.0,62
178.0,62
179.0,62
180.0,62
181.0,62
182.0,61
183.0,61
184.0,61
185.0,61
186.0,62
187.0,62
188.0,63
189.0,63
190.0,64
191.0,64
192.0,64
193.0,64
194.0,64
195.0,65
196.0,65
197.0,65
198.0,65
199.0,65
200.0,65
201.0,65
202.0,65
203.0,65
204.0,65
205.0,65
206.0,65
207.0,65
208.0,65
209.0,65
210.0,64
211.0,64
212.0,64
213.0,63
214.0,63
215.0,63
216.0,63
217.0,63
218.0,62
219.0,61
220.0,61
221.0,61
222.0,61
223.0,60
224.0,60
225.0,61
226.0,61
227.0,61
228.0,61
229.0,61
230.0,60
231.0,60
232.0,60
233.0,60
234.0,61
235.0,61
236.0,62
237.0,62
238.0,62
239.0,61
240.0,61
241.0,61
242.0,61
243.0,62
244.0,62
245.0,62
246.0,62
247.0,62
248.0,62
249.0,62
250.0,62
251.0,62
252.0,63
253.0,63
254.0,63
255.0,63
256.0,63
257.0,64
258.0,64
259.0,64
260.0,64
261.0,65
262.0,65
263.0,64
264.0,64
265.0,64
266.0,64
267.0,63
268.0,63
269.0,63
270.0,63
271.0,63
272.0,63
273.0,63
274.0,62
275.0,62
276.0,62
277.0,62
278.0,62
279.0,62
280.0,62
281.0,62
282.0,62
283.0,62
284.0,63
285.0,63
286.0,63
287.0,63
288.0,63
289.0,63
290.0,63
291.0,63
292.0,63
293.0,63
294.0,63
295.0,63
296.0,63
297.0,63
298.0,63
299.0,64
300.0,65
301.0,66
302.0,67
303.0,68
304.0,69
305.0,69
306.0,68
307.0,67
308.0,67
309.0,67
310.0,65
311.0,64
312.0,63
313.0,61
314.0,59
315.0,58
316.0,57
317.0,56
318.0,56
319.0,56
320.0,56
321.0,56
322.0,55
323.0,55
324.0,55
325.0,55
326.0,55
327.0,55
328.0,55
329.0,56
330.0,56
331.0,56
332.0,56
333.0,56
334.0,56
335.0,56
336.0,57
337.0,58
338.0,60
339.0,63
340.0,64
341.0,65
342.0,66
343.0,66
344.0,66
345.0,66
346.0,66
347.0,66
348.0,65
349.0,64
350.0,64
351.0,64
352.0,64
353.0,64
354.0,64
355.0,64
356.0,64
357.0,64
358.0,64
359.0,64
360.0,64
361.0,64
362.0,64
363.0,64
364.0,64
365.0,63
366.0,62
367.0,61
368.0,61
369.0,61
370.0,61
371.0,63
372.0,65
373.0,67
374.0,68
375.0,70
376.0,69
377.0,69
378.0,69
379.0,69
380.0,69
381.0,69
382.0,67
383.0,66
384.0,65
385.0,63
386.0,61
387.0,59
388.0,57
389.0,57
390.0,56
391.0,55
392.0,55
393.0,55
394.0,55
395.0,55
396.0,55
397.0,55
398.0,56
399.0,56
400.0,57
401.0,57
402.0,58
403.0,58
404.0,58
405.0,58
406.0,59
407.0,59
408.0,60
409.0,60
410.0,60
411.0,60
412.0,61
413.0,61
414.0,62
415.0,62
416.0,63
417.0,63
418.0,63
419.0,63
420.0,62
421.0,63
422.0,63
423.0,63
424.0,63
425.0,63
426.0,63
427.0,62
428.0,62
429.0,62
430.0,62
431.0,62
432.0,62
433.0,62
434.0,62
435.0,62
436.0,62
437.0,62
438.0,61
439.0,61
440.0,61
441.0,61
442.0,60
443.0,60
444.0,60
445.0,60
446.0,60
447.0,60
448.0,60
449.0,60
450.0,60
451.0,60
452.0,60
453.0,60
454.0,60
455.0,60
456.0,61
457.0,61
458.0,62
459.0,62
460.0,62
461.0,62
462.0,62
463.0,62
464.0,63
465.0,63
466.0,63
467.0,63
468.0,63
469.0,63
470.0,62
471.0,62
472.0,62
473.0,61
474.0,61
475.0,61
476.0,61
477.0,61
478.0,61
479.0,61
480.0,61
481.0,61
482.0,61
483.0,61
484.0,61
485.0,61
486.0,61
487.0,61
488.0,61
489.0,61
490.0,61
491.0,60
492.0,60
493.0,60
494.0,61
495.0,61
496.0,61
497.0,61
498.0,61
499.0,61
500.0,61
501.0,61
502.0,60
503.0,60
504.0,60
505.0,60
506.0,60
507.0,60
508.0,61
509.0,62
510.0,62
511.0,62
512.0,62
513.0,62
514.0,62
515.0,61
516.0,61
517.0,60
518.0,59
519.0,58
520.0,57
521.0,57
522.0,56
523.0,56
524.0,55
525.0,55
526.0,55
527.0,55
528.0,55
529.0,55
530.0,55
531.0,55
532.0,56
533.0,56
534.0,56
535.0,56
536.0,56
537.0,57
538.0,58
539.0,58
540.0,58
541.0,58
542.0,58
543.0,59
544.0,59
545.0,59
546.0,60
547.0,60
548.0,60
549.0,61
550.0,61
551.0,62
552.0,62
553.0,63
554.0,63
555.0,63
556.0,63
557.0,62
558.0,62
559.0,62
560.0,62
561.0,62
562.0,62
563.0,62
564.0,61
565.0,61
566.0,61
567.0,61
568.0,61
569.0,61
570.0,61
571.0,62
572.0,62
573.0,63
574.0,63
575.0,63
576.0,63
577.0,63
578.0,63
579.0,63
580.0,63
581.0,63
582.0,63
583.0,63
584.0,62
585.0,62
586.0,61
587.0,61
588.0,61
589.0,61
590.0,60
591.0,60
592.0,60
593.0,60
594.0,60
595.0,60
596.0,60
597.0,60
598.0,60
599.0,60
600.0,60
601.0,60
602.0,60
603.0,60
604.0,60
605.0,60
606.0,61
607.0,61
608.0,61
609.0,62
610.0,62
611.0,64
612.0,65
613.0,65
614.0,68
615.0,69
616.0,71
617.0,71
618.0,71
619.0,71
620.0,70
621.0,69
622.0,68
623.0,66
624.0,64
625.0,63
626.0,63
627.0,60
628.0,57
629.0,56
630.0,54
631.0,53
632.0,53
633.0,53
634.0,53
635.0,53
636.0,52
637.0,52
638.0,53
639.0,53
640.0,53
641.0,54
642.0,54
643.0,55
644.0,55
645.0,55
646.0,57
647.0,58
648.0,59
649.0,61
650.0,61
651.0,62
652.0,62
653.0,63
654.0,63
655.0,64
656.0,64
657.0,64
658.0,64
659.0,64
660.0,63
661.0,63
662.0,61
663.0,61
664.0,61
665.0,60
666.0,60
667.0,60
668.0,59
669.0,59
670.0,58
671.0,58
672.0,58
673.0,57
674.0,56
675.0,56
676.0,56
677.0,56
678.0,56
679.0,56
680.0,55
681.0,55
682.0,55
683.0,55
684.0,55
685.0,55
686.0,55
687.0,57
688.0,57
689.0,57
690.0,58
691.0,58
692.0,57
693.0,56
694.0,56
695.0,56
696.0,56
697.0,56
698.0,56
699.0,56
700.0,56
701.0,56
702.0,55
703.0,55
704.0,55
705.0,55
706.0,55
707.0,55
708.0,55
709.0,55
710.0,56
711.0,56
712.0,56
713.0,56
714.0,56
715.0,56
716.0,57
717.0,58
718.0,58
719.0,60
720.0,60
721.0,61
722.0,61
723.0,62
724.0,62
725.0,62
726.0,62
727.0,62
728.0,63
729.0,63
730.0,63
731.0,62
732.0,62
733.0,61
734.0,60
735.0,60
736.0,60
737.0,59
738.0,59
739.0,59
740.0,59
741.0,59
742.0,59
743.0,59
744.0,59
745.0,58
746.0,58
747.0,58
748.0,58
749.0,58
750.0,59
751.0,59
752.0,59
753.0,59
754.0,58
755.0,58
756.0,58
757.0,58
758.0,58
759.0,57
760.0,57
761.0,57
762.0,56
763.0,55
764.0,55
765.0,54
766.0,54
767.0,54
768.0,54
769.0,54
770.0,55
771.0,55
772.0,55
773.0,55
774.0,55
775.0,55
776.0,55
777.0,55
778.0,55
779.0,55
780.0,55
781.0,55
782.0,55
783.0,55
784.0,55
785.0,55
786.0,55
787.0,55
788.0,55
789.0,55
790.0,55
791.0,55
792.0,56
793.0,56
794.0,56
795.0,56
796.0,58
797.0,58
798.0,59
799.0,58
800.0,59
801.0,59
802.0,58
803.0,58
804.0,59
805.0,58
806.0,58
807.0,58
808.0,58
809.0,57
810.0,57
811.0,57
812.0,57
813.0,57
814.0,58
815.0,58
816.0,58
817.0,58
818.0,58
819.0,58
820.0,58
821.0,58
822.0,59
823.0,59
824.0,59
825.0,59
826.0,59
827.0,58
828.0,59
829.0,59
830.0,59
831.0,59
832.0,60
833.0,59
834.0,59
835.0,59
836.0,59
837.0,59
838.0,58
839.0,58
840.0,58
841.0,58
